invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-002,INV-2027-904016,2027-02-26,invoice,ORD-2027-656011,PROD-564738,Fomex Cat8 Patch Cable 3m,43,m,8.9,EUR,382.7,19.0,72.71,455.41,issued,,S
IL-003,INV-2027-543116,2027-02-26,invoice,ORD-2026-943706,PROD-271045,Vantec USB-C Hub 9-port,99,pcs,34.5,EUR,3415.5,0.0,0.0,3415.5,issued,,AE
IL-001,INV-2027-211380,2027-02-26,invoice,ORD-2027-464187,PROD-192837,Droxel 65W GaN Charger,65,pcs,28.4,EUR,1846.0,19.0,350.74,2196.74,issued,,S
IL-002,INV-2027-691299,2027-02-26,invoice,ORD-2027-852658,PROD-271045,Vantec USB-C Hub 9-port,79,pcs,34.5,EUR,2725.5,0.0,0.0,2725.5,issued,,AE
IL-001,INV-2027-946648,2027-02-26,invoice,ORD-2027-122977,PROD-583047,Veltric UPS 600VA Tower,91,pcs,78.6,EUR,7152.6,0.0,0.0,7152.6,issued,,AE
IL-001,INV-2027-133842,2027-02-26,invoice,ORD-2027-539673,PROD-192837,Droxel 65W GaN Charger,45,pcs,28.4,EUR,1278.0,0.0,0.0,1278.0,issued,,AE
IL-003,INV-2027-207919,2027-02-26,invoice,ORD-2026-330069,PROD-639182,Blipcore Wireless Adapter AC1200,90,pcs,22.8,EUR,2052.0,0.0,0.0,2052.0,issued,,AE
IL-001,INV-2027-886363,2027-02-26,invoice,ORD-2027-999308,PROD-738291,Quorvex 2TB NVMe SSD M.2,51,pcs,112.5,EUR,5737.5,0.0,0.0,5737.5,issued,,AE
IL-001,INV-2027-708934,2027-02-26,invoice,ORD-2026-755520,PROD-271045,Vantec USB-C Hub 9-port,46,pcs,34.5,EUR,1587.0,19.0,301.53,1888.53,issued,,S
IL-001,INV-2027-638891,2027-02-26,invoice,ORD-2027-961530,PROD-192837,Droxel 65W GaN Charger,53,pcs,28.4,EUR,1505.2,0.0,0.0,1505.2,issued,,AE
IL-001,INV-2027-821353,2027-02-26,invoice,ORD-2027-695417,PROD-738291,Quorvex 2TB NVMe SSD M.2,13,pcs,112.5,EUR,1462.5,0.0,0.0,1462.5,issued,,AE
IL-001,INV-2027-750348,2027-02-26,invoice,ORD-2026-952646,PROD-192837,Droxel 65W GaN Charger,73,pcs,28.4,EUR,2073.2,19.0,393.91,2467.11,issued,,S
IL-002,INV-2027-210553,2027-02-26,invoice,ORD-2026-687019,PROD-738291,Quorvex 2TB NVMe SSD M.2,26,pcs,112.5,EUR,2925.0,0.0,0.0,2925.0,issued,,AE
IL-001,INV-2027-636196,2027-02-26,invoice,ORD-2027-489933,PROD-192837,Droxel 65W GaN Charger,94,pcs,28.4,EUR,2669.6,0.0,0.0,2669.6,issued,,AE
IL-001,INV-2027-383648,2027-02-26,invoice,ORD-2027-717499,PROD-029384,Trimbit Docking Station 12-in-1,3,pcs,89.9,EUR,269.7,19.0,51.24,320.94,issued,,S
IL-001,INV-2027-904016,2027-02-26,invoice,ORD-2027-656011,PROD-483921,Zoltrix 4K Display Module 27in,56,pcs,189.99,EUR,10639.44,19.0,2021.49,12660.93,issued,,S
IL-002,INV-2027-708934,2027-02-26,invoice,ORD-2026-755520,PROD-738291,Quorvex 2TB NVMe SSD M.2,55,pcs,112.5,EUR,6187.5,19.0,1175.62,7363.12,issued,,S
IL-001,INV-2027-691299,2027-02-26,invoice,ORD-2027-852658,PROD-483921,Zoltrix 4K Display Module 27in,52,pcs,189.99,EUR,9879.48,0.0,0.0,9879.48,issued,,AE
