invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-001,INV-2027-982608,2027-02-02,invoice,ORD-2026-749208,PROD-564738,Fomex Cat8 Patch Cable 3m,47,m,8.9,EUR,418.3,0.0,0.0,418.3,issued,,AE
IL-001,INV-2027-196437,2027-02-02,invoice,ORD-2026-191208,PROD-271045,Vantec USB-C Hub 9-port,27,pcs,34.5,EUR,931.5,19.0,176.99,1108.49,issued,,S
IL-001,INV-2027-410624,2027-02-02,invoice,ORD-2027-746036,PROD-738291,Quorvex 2TB NVMe SSD M.2,86,pcs,112.5,EUR,9675.0,0.0,0.0,9675.0,issued,,AE
IL-002,INV-2027-568482,2027-02-02,invoice,ORD-2026-909652,PROD-029384,Trimbit Docking Station 12-in-1,18,pcs,89.9,EUR,1618.2,0.0,0.0,1618.2,issued,,AE
IL-002,INV-2027-788866,2027-02-02,invoice,ORD-2027-405844,PROD-564738,Fomex Cat8 Patch Cable 3m,90,m,8.9,EUR,801.0,0.0,0.0,801.0,issued,,AE
IL-002,INV-2027-196258,2027-02-02,invoice,ORD-2027-816586,PROD-639182,Blipcore Wireless Adapter AC1200,89,pcs,22.8,EUR,2029.2,0.0,0.0,2029.2,issued,,AE
IL-001,INV-2027-297045,2027-02-02,invoice,ORD-2026-934883,PROD-738291,Quorvex 2TB NVMe SSD M.2,33,pcs,112.5,EUR,3712.5,0.0,0.0,3712.5,issued,,AE
IL-002,INV-2027-877007,2027-02-02,invoice,ORD-2026-956835,PROD-738291,Quorvex 2TB NVMe SSD M.2,99,pcs,112.5,EUR,11137.5,19.0,2116.12,13253.62,issued,,S
IL-001,INV-2027-877007,2027-02-02,invoice,ORD-2026-956835,PROD-271045,Vantec USB-C Hub 9-port,84,pcs,34.5,EUR,2898.0,19.0,550.62,3448.62,issued,,S
IL-002,INV-2027-260455,2027-02-02,invoice,ORD-2026-580854,PROD-564738,Fomex Cat8 Patch Cable 3m,78,m,8.9,EUR,694.2,0.0,0.0,694.2,issued,,AE
IL-001,INV-2027-216478,2027-02-02,invoice,ORD-2026-618382,PROD-483921,Zoltrix 4K Display Module 27in,85,pcs,189.99,EUR,16149.15,0.0,0.0,16149.15,issued,,AE
IL-001,INV-2027-196258,2027-02-02,invoice,ORD-2027-816586,PROD-483921,Zoltrix 4K Display Module 27in,27,pcs,189.99,EUR,5129.73,0.0,0.0,5129.73,issued,,AE
IL-001,INV-2027-624337,2027-02-02,invoice,ORD-2026-223794,PROD-564738,Fomex Cat8 Patch Cable 3m,21,m,8.9,EUR,186.9,0.0,0.0,186.9,issued,,AE
IL-002,INV-2027-216478,2027-02-02,invoice,ORD-2026-618382,PROD-847263,Nexboard Mechanical Keyboard TKL,67,pcs,67.0,EUR,4489.0,0.0,0.0,4489.0,issued,,AE
IL-001,INV-2027-163821,2027-02-02,invoice,ORD-2026-740916,PROD-583047,Veltric UPS 600VA Tower,9,pcs,78.6,EUR,707.4,0.0,0.0,707.4,issued,,AE
IL-001,INV-2027-619885,2027-02-02,invoice,ORD-2026-239136,PROD-639182,Blipcore Wireless Adapter AC1200,92,pcs,22.8,EUR,2097.6,19.0,398.54,2496.14,issued,,S
IL-001,INV-2027-727203,2027-02-02,invoice,ORD-2026-390848,PROD-483921,Zoltrix 4K Display Module 27in,72,pcs,189.99,EUR,13679.28,0.0,0.0,13679.28,issued,,AE
IL-002,INV-2027-647108,2027-02-02,invoice,ORD-2026-713543,PROD-461829,Plonex Webcam 1080p Pro,89,pcs,44.0,EUR,3916.0,0.0,0.0,3916.0,issued,,AE
IL-001,INV-2027-568482,2027-02-02,invoice,ORD-2026-909652,PROD-461829,Plonex Webcam 1080p Pro,1,pcs,44.0,EUR,44.0,0.0,0.0,44.0,issued,,AE
IL-001,INV-2027-155718,2027-02-02,invoice,ORD-2026-832377,PROD-583047,Veltric UPS 600VA Tower,22,pcs,78.6,EUR,1729.2,0.0,0.0,1729.2,issued,,AE
IL-002,INV-2027-727203,2027-02-02,invoice,ORD-2026-390848,PROD-271045,Vantec USB-C Hub 9-port,74,pcs,34.5,EUR,2553.0,0.0,0.0,2553.0,issued,,AE
IL-001,INV-2027-260455,2027-02-02,invoice,ORD-2026-580854,PROD-639182,Blipcore Wireless Adapter AC1200,29,pcs,22.8,EUR,661.2,0.0,0.0,661.2,issued,,AE
IL-001,INV-2027-821726,2027-02-02,invoice,ORD-2026-282313,PROD-738291,Quorvex 2TB NVMe SSD M.2,58,pcs,112.5,EUR,6525.0,0.0,0.0,6525.0,issued,,AE
IL-003,INV-2027-410624,2027-02-02,invoice,ORD-2027-746036,PROD-461829,Plonex Webcam 1080p Pro,31,pcs,44.0,EUR,1364.0,0.0,0.0,1364.0,issued,,AE
IL-002,INV-2027-410624,2027-02-02,invoice,ORD-2027-746036,PROD-847263,Nexboard Mechanical Keyboard TKL,90,pcs,67.0,EUR,6030.0,0.0,0.0,6030.0,issued,,AE
IL-001,INV-2027-245473,2027-02-02,invoice,ORD-2027-898169,PROD-583047,Veltric UPS 600VA Tower,98,pcs,78.6,EUR,7702.8,0.0,0.0,7702.8,issued,,AE
IL-003,INV-2027-695034,2027-02-02,invoice,ORD-2026-961599,PROD-483921,Zoltrix 4K Display Module 27in,24,pcs,189.99,EUR,4559.76,19.0,866.35,5426.11,issued,,S
IL-002,INV-2027-196437,2027-02-02,invoice,ORD-2026-191208,PROD-847263,Nexboard Mechanical Keyboard TKL,76,pcs,67.0,EUR,5092.0,19.0,967.48,6059.48,issued,,S
IL-002,INV-2027-695034,2027-02-02,invoice,ORD-2026-961599,PROD-738291,Quorvex 2TB NVMe SSD M.2,49,pcs,112.5,EUR,5512.5,19.0,1047.38,6559.88,issued,,S
IL-001,INV-2027-788866,2027-02-02,invoice,ORD-2027-405844,PROD-738291,Quorvex 2TB NVMe SSD M.2,42,pcs,112.5,EUR,4725.0,0.0,0.0,4725.0,issued,,AE
IL-001,INV-2027-647108,2027-02-02,invoice,ORD-2026-713543,PROD-639182,Blipcore Wireless Adapter AC1200,94,pcs,22.8,EUR,2143.2,0.0,0.0,2143.2,issued,,AE
IL-001,INV-2027-695034,2027-02-02,invoice,ORD-2026-961599,PROD-029384,Trimbit Docking Station 12-in-1,23,pcs,89.9,EUR,2067.7,19.0,392.86,2460.56,issued,,S
