invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-003,INV-2027-232729,2027-02-25,invoice,ORD-2027-335765,PROD-192837,Droxel 65W GaN Charger,73,pcs,28.4,EUR,2073.2,19.0,393.91,2467.11,issued,,S
IL-001,INV-2027-693047,2027-02-25,invoice,ORD-2026-293743,PROD-639182,Blipcore Wireless Adapter AC1200,33,pcs,22.8,EUR,752.4,0.0,0.0,752.4,issued,,AE
IL-001,INV-2027-594668,2027-02-25,invoice,ORD-2027-598940,PROD-738291,Quorvex 2TB NVMe SSD M.2,99,pcs,112.5,EUR,11137.5,0.0,0.0,11137.5,issued,,AE
IL-001,INV-2027-683480,2027-02-25,invoice,ORD-2026-336047,PROD-192837,Droxel 65W GaN Charger,100,pcs,28.4,EUR,2840.0,19.0,539.6,3379.6,issued,,S
IL-002,INV-2027-174200,2027-02-25,invoice,ORD-2027-863220,PROD-271045,Vantec USB-C Hub 9-port,50,pcs,34.5,EUR,1725.0,0.0,0.0,1725.0,issued,,AE
IL-003,INV-2027-212379,2027-02-25,invoice,ORD-2027-287847,PROD-029384,Trimbit Docking Station 12-in-1,9,pcs,89.9,EUR,809.1,19.0,153.73,962.83,issued,,S
IL-002,INV-2027-178458,2027-02-25,invoice,ORD-2027-176054,PROD-738291,Quorvex 2TB NVMe SSD M.2,44,pcs,112.5,EUR,4950.0,0.0,0.0,4950.0,issued,,AE
IL-003,INV-2027-535241,2027-02-25,invoice,ORD-2026-158936,PROD-271045,Vantec USB-C Hub 9-port,18,pcs,34.5,EUR,621.0,19.0,117.99,738.99,issued,,S
IL-001,INV-2027-174200,2027-02-25,invoice,ORD-2027-863220,PROD-738291,Quorvex 2TB NVMe SSD M.2,51,pcs,112.5,EUR,5737.5,0.0,0.0,5737.5,issued,,AE
IL-001,INV-2027-774933,2027-02-25,invoice,ORD-2027-800596,PROD-738291,Quorvex 2TB NVMe SSD M.2,71,pcs,112.5,EUR,7987.5,19.0,1517.62,9505.12,issued,,S
IL-002,INV-2027-212379,2027-02-25,invoice,ORD-2027-287847,PROD-583047,Veltric UPS 600VA Tower,46,pcs,78.6,EUR,3615.6,19.0,686.96,4302.56,issued,,S
IL-001,INV-2027-632599,2027-02-25,invoice,ORD-2027-377370,PROD-564738,Fomex Cat8 Patch Cable 3m,59,m,8.9,EUR,525.1,19.0,99.77,624.87,issued,,S
IL-001,INV-2027-212379,2027-02-25,invoice,ORD-2027-287847,PROD-639182,Blipcore Wireless Adapter AC1200,98,pcs,22.8,EUR,2234.4,19.0,424.54,2658.94,issued,,S
IL-001,INV-2027-637966,2027-02-25,invoice,ORD-2027-912323,PROD-738291,Quorvex 2TB NVMe SSD M.2,26,pcs,112.5,EUR,2925.0,0.0,0.0,2925.0,issued,,AE
IL-003,INV-2027-683480,2027-02-25,invoice,ORD-2026-336047,PROD-847263,Nexboard Mechanical Keyboard TKL,66,pcs,67.0,EUR,4422.0,19.0,840.18,5262.18,issued,,S
IL-002,INV-2027-594668,2027-02-25,invoice,ORD-2027-598940,PROD-029384,Trimbit Docking Station 12-in-1,16,pcs,89.9,EUR,1438.4,0.0,0.0,1438.4,issued,,AE
IL-001,INV-2027-178458,2027-02-25,invoice,ORD-2027-176054,PROD-271045,Vantec USB-C Hub 9-port,18,pcs,34.5,EUR,621.0,0.0,0.0,621.0,issued,,AE
IL-001,INV-2027-610125,2027-02-25,invoice,ORD-2026-302338,PROD-738291,Quorvex 2TB NVMe SSD M.2,46,pcs,112.5,EUR,5175.0,19.0,983.25,6158.25,issued,,S
IL-002,INV-2027-683480,2027-02-25,invoice,ORD-2026-336047,PROD-738291,Quorvex 2TB NVMe SSD M.2,88,pcs,112.5,EUR,9900.0,19.0,1881.0,11781.0,issued,,S
IL-001,INV-2027-252085,2027-02-25,invoice,ORD-2027-377880,PROD-271045,Vantec USB-C Hub 9-port,21,pcs,34.5,EUR,724.5,0.0,0.0,724.5,issued,,AE
IL-001,INV-2027-535241,2027-02-25,invoice,ORD-2026-158936,PROD-192837,Droxel 65W GaN Charger,68,pcs,28.4,EUR,1931.2,19.0,366.93,2298.13,issued,,S
IL-002,INV-2027-232729,2027-02-25,invoice,ORD-2027-335765,PROD-639182,Blipcore Wireless Adapter AC1200,99,pcs,22.8,EUR,2257.2,19.0,428.87,2686.07,issued,,S
IL-003,INV-2027-594668,2027-02-25,invoice,ORD-2027-598940,PROD-583047,Veltric UPS 600VA Tower,66,pcs,78.6,EUR,5187.6,0.0,0.0,5187.6,issued,,AE
IL-002,INV-2027-637966,2027-02-25,invoice,ORD-2027-912323,PROD-483921,Zoltrix 4K Display Module 27in,85,pcs,189.99,EUR,16149.15,0.0,0.0,16149.15,issued,,AE
IL-001,INV-2027-251154,2027-02-25,invoice,ORD-2027-106658,PROD-639182,Blipcore Wireless Adapter AC1200,12,pcs,22.8,EUR,273.6,0.0,0.0,273.6,issued,,AE
IL-002,INV-2027-774933,2027-02-25,invoice,ORD-2027-800596,PROD-461829,Plonex Webcam 1080p Pro,97,pcs,44.0,EUR,4268.0,19.0,810.92,5078.92,issued,,S
IL-001,INV-2027-232729,2027-02-25,invoice,ORD-2027-335765,PROD-029384,Trimbit Docking Station 12-in-1,66,pcs,89.9,EUR,5933.4,19.0,1127.35,7060.75,issued,,S
IL-002,INV-2027-535241,2027-02-25,invoice,ORD-2026-158936,PROD-639182,Blipcore Wireless Adapter AC1200,91,pcs,22.8,EUR,2074.8,19.0,394.21,2469.01,issued,,S
