invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-001,INV-2027-123637,2027-02-03,invoice,ORD-2026-596330,PROD-029384,Trimbit Docking Station 12-in-1,80,pcs,89.9,EUR,7192.0,0.0,0.0,7192.0,issued,,AE
IL-001,INV-2027-808502,2027-02-03,invoice,ORD-2026-539128,PROD-461829,Plonex Webcam 1080p Pro,31,pcs,44.0,EUR,1364.0,19.0,259.16,1623.16,issued,,S
IL-001,INV-2027-473801,2027-02-03,invoice,ORD-2027-940480,PROD-639182,Blipcore Wireless Adapter AC1200,39,pcs,22.8,EUR,889.2,0.0,0.0,889.2,issued,,AE
IL-001,INV-2027-891666,2027-02-03,invoice,ORD-2026-982417,PROD-738291,Quorvex 2TB NVMe SSD M.2,16,pcs,112.5,EUR,1800.0,19.0,342.0,2142.0,issued,,S
IL-001,INV-2027-632261,2027-02-03,invoice,ORD-2026-277409,PROD-583047,Veltric UPS 600VA Tower,42,pcs,78.6,EUR,3301.2,19.0,627.23,3928.43,issued,,S
IL-003,INV-2027-726040,2027-02-03,invoice,ORD-2026-891662,PROD-461829,Plonex Webcam 1080p Pro,58,pcs,44.0,EUR,2552.0,0.0,0.0,2552.0,issued,,AE
IL-001,INV-2027-113353,2027-02-03,invoice,ORD-2027-432270,PROD-583047,Veltric UPS 600VA Tower,100,pcs,78.6,EUR,7860.0,0.0,0.0,7860.0,issued,,AE
IL-001,INV-2027-726040,2027-02-03,invoice,ORD-2026-891662,PROD-639182,Blipcore Wireless Adapter AC1200,50,pcs,22.8,EUR,1140.0,0.0,0.0,1140.0,issued,,AE
IL-003,INV-2027-496129,2027-02-03,invoice,ORD-2026-817999,PROD-271045,Vantec USB-C Hub 9-port,55,pcs,34.5,EUR,1897.5,0.0,0.0,1897.5,issued,,AE
IL-002,INV-2027-726040,2027-02-03,invoice,ORD-2026-891662,PROD-483921,Zoltrix 4K Display Module 27in,58,pcs,189.99,EUR,11019.42,0.0,0.0,11019.42,issued,,AE
IL-001,INV-2027-736795,2027-02-03,invoice,ORD-2026-431845,PROD-738291,Quorvex 2TB NVMe SSD M.2,73,pcs,112.5,EUR,8212.5,0.0,0.0,8212.5,issued,,AE
IL-001,INV-2027-946705,2027-02-03,invoice,ORD-2026-567541,PROD-029384,Trimbit Docking Station 12-in-1,20,pcs,89.9,EUR,1798.0,19.0,341.62,2139.62,issued,,S
IL-003,INV-2027-113353,2027-02-03,invoice,ORD-2027-432270,PROD-738291,Quorvex 2TB NVMe SSD M.2,47,pcs,112.5,EUR,5287.5,0.0,0.0,5287.5,issued,,AE
IL-002,INV-2027-630374,2027-02-03,invoice,ORD-2026-867333,PROD-639182,Blipcore Wireless Adapter AC1200,83,pcs,22.8,EUR,1892.4,0.0,0.0,1892.4,issued,,AE
IL-002,INV-2027-278458,2027-02-03,invoice,ORD-2026-578073,PROD-583047,Veltric UPS 600VA Tower,18,pcs,78.6,EUR,1414.8,19.0,268.81,1683.61,issued,,S
IL-003,INV-2027-398179,2027-02-03,invoice,ORD-2026-962520,PROD-564738,Fomex Cat8 Patch Cable 3m,72,m,8.9,EUR,640.8,19.0,121.75,762.55,issued,,S
IL-001,INV-2027-518500,2027-02-03,invoice,ORD-2026-552091,PROD-564738,Fomex Cat8 Patch Cable 3m,23,m,8.9,EUR,204.7,0.0,0.0,204.7,issued,,AE
IL-001,INV-2027-501103,2027-02-03,invoice,ORD-2026-665482,PROD-738291,Quorvex 2TB NVMe SSD M.2,67,pcs,112.5,EUR,7537.5,0.0,0.0,7537.5,issued,,AE
IL-001,INV-2027-656673,2027-02-03,invoice,ORD-2026-257538,PROD-639182,Blipcore Wireless Adapter AC1200,47,pcs,22.8,EUR,1071.6,19.0,203.6,1275.2,issued,,S
IL-001,INV-2027-496129,2027-02-03,invoice,ORD-2026-817999,PROD-738291,Quorvex 2TB NVMe SSD M.2,77,pcs,112.5,EUR,8662.5,0.0,0.0,8662.5,issued,,AE
IL-001,INV-2027-278458,2027-02-03,invoice,ORD-2026-578073,PROD-461829,Plonex Webcam 1080p Pro,56,pcs,44.0,EUR,2464.0,19.0,468.16,2932.16,issued,,S
IL-002,INV-2027-473801,2027-02-03,invoice,ORD-2027-940480,PROD-192837,Droxel 65W GaN Charger,17,pcs,28.4,EUR,482.8,0.0,0.0,482.8,issued,,AE
IL-002,INV-2027-398179,2027-02-03,invoice,ORD-2026-962520,PROD-192837,Droxel 65W GaN Charger,9,pcs,28.4,EUR,255.6,19.0,48.56,304.16,issued,,S
IL-001,INV-2027-562779,2027-02-03,invoice,ORD-2027-213844,PROD-847263,Nexboard Mechanical Keyboard TKL,67,pcs,67.0,EUR,4489.0,19.0,852.91,5341.91,issued,,S
IL-002,INV-2027-891666,2027-02-03,invoice,ORD-2026-982417,PROD-483921,Zoltrix 4K Display Module 27in,92,pcs,189.99,EUR,17479.08,19.0,3321.03,20800.11,issued,,S
IL-001,INV-2027-244408,2027-02-03,invoice,ORD-2026-132687,PROD-738291,Quorvex 2TB NVMe SSD M.2,22,pcs,112.5,EUR,2475.0,19.0,470.25,2945.25,issued,,S
IL-002,INV-2027-518500,2027-02-03,invoice,ORD-2026-552091,PROD-583047,Veltric UPS 600VA Tower,70,pcs,78.6,EUR,5502.0,0.0,0.0,5502.0,issued,,AE
IL-001,INV-2027-286138,2027-02-03,invoice,ORD-2027-200195,PROD-029384,Trimbit Docking Station 12-in-1,71,pcs,89.9,EUR,6382.9,0.0,0.0,6382.9,issued,,AE
IL-001,INV-2027-630374,2027-02-03,invoice,ORD-2026-867333,PROD-847263,Nexboard Mechanical Keyboard TKL,46,pcs,67.0,EUR,3082.0,0.0,0.0,3082.0,issued,,AE
IL-002,INV-2027-113353,2027-02-03,invoice,ORD-2027-432270,PROD-192837,Droxel 65W GaN Charger,35,pcs,28.4,EUR,994.0,0.0,0.0,994.0,issued,,AE
IL-001,INV-2027-398179,2027-02-03,invoice,ORD-2026-962520,PROD-639182,Blipcore Wireless Adapter AC1200,94,pcs,22.8,EUR,2143.2,19.0,407.21,2550.41,issued,,S
IL-003,INV-2027-278458,2027-02-03,invoice,ORD-2026-578073,PROD-564738,Fomex Cat8 Patch Cable 3m,63,m,8.9,EUR,560.7,19.0,106.53,667.23,issued,,S
IL-002,INV-2027-244408,2027-02-03,invoice,ORD-2026-132687,PROD-461829,Plonex Webcam 1080p Pro,50,pcs,44.0,EUR,2200.0,19.0,418.0,2618.0,issued,,S
IL-002,INV-2027-496129,2027-02-03,invoice,ORD-2026-817999,PROD-583047,Veltric UPS 600VA Tower,25,pcs,78.6,EUR,1965.0,0.0,0.0,1965.0,issued,,AE
IL-001,INV-2027-475290,2027-02-03,invoice,ORD-2027-309174,PROD-583047,Veltric UPS 600VA Tower,63,pcs,78.6,EUR,4951.8,0.0,0.0,4951.8,issued,,AE
