invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-003,INV-2027-583232,2027-02-21,invoice,ORD-2026-670792,PROD-461829,Plonex Webcam 1080p Pro,49,pcs,44.0,EUR,2156.0,19.0,409.64,2565.64,issued,,S
IL-001,INV-2027-959142,2027-02-21,invoice,ORD-2027-832614,PROD-483921,Zoltrix 4K Display Module 27in,56,pcs,189.99,EUR,10639.44,0.0,0.0,10639.44,issued,,AE
IL-001,INV-2027-958311,2027-02-21,invoice,ORD-2027-123107,PROD-461829,Plonex Webcam 1080p Pro,83,pcs,44.0,EUR,3652.0,0.0,0.0,3652.0,issued,,AE
IL-003,INV-2027-178687,2027-02-21,invoice,ORD-2027-238948,PROD-639182,Blipcore Wireless Adapter AC1200,62,pcs,22.8,EUR,1413.6,0.0,0.0,1413.6,issued,,AE
IL-002,INV-2027-858188,2027-02-21,invoice,ORD-2027-403936,PROD-461829,Plonex Webcam 1080p Pro,66,pcs,44.0,EUR,2904.0,0.0,0.0,2904.0,cancelled,,AE
IL-001,INV-2027-404691,2027-02-21,invoice,ORD-2026-662625,PROD-583047,Veltric UPS 600VA Tower,30,pcs,78.6,EUR,2358.0,0.0,0.0,2358.0,issued,,AE
IL-001,INV-2027-504305,2027-02-21,invoice,ORD-2027-292930,PROD-583047,Veltric UPS 600VA Tower,33,pcs,78.6,EUR,2593.8,19.0,492.82,3086.62,issued,,S
IL-003,INV-2027-144702,2027-02-21,invoice,ORD-2027-785572,PROD-639182,Blipcore Wireless Adapter AC1200,16,pcs,22.8,EUR,364.8,0.0,0.0,364.8,issued,,AE
IL-002,INV-2027-897429,2027-02-21,invoice,ORD-2027-508422,PROD-271045,Vantec USB-C Hub 9-port,83,pcs,34.5,EUR,2863.5,0.0,0.0,2863.5,issued,,AE
IL-001,INV-2027-677035,2027-02-21,invoice,ORD-2027-145240,PROD-583047,Veltric UPS 600VA Tower,76,pcs,78.6,EUR,5973.6,19.0,1134.98,7108.58,issued,,S
IL-002,INV-2027-959142,2027-02-21,invoice,ORD-2027-832614,PROD-847263,Nexboard Mechanical Keyboard TKL,32,pcs,67.0,EUR,2144.0,0.0,0.0,2144.0,issued,,AE
IL-002,INV-2027-144702,2027-02-21,invoice,ORD-2027-785572,PROD-192837,Droxel 65W GaN Charger,63,pcs,28.4,EUR,1789.2,0.0,0.0,1789.2,issued,,AE
IL-001,INV-2027-897429,2027-02-21,invoice,ORD-2027-508422,PROD-483921,Zoltrix 4K Display Module 27in,75,pcs,189.99,EUR,14249.25,0.0,0.0,14249.25,issued,,AE
IL-001,INV-2027-144702,2027-02-21,invoice,ORD-2027-785572,PROD-738291,Quorvex 2TB NVMe SSD M.2,83,pcs,112.5,EUR,9337.5,0.0,0.0,9337.5,issued,,AE
IL-001,INV-2027-178687,2027-02-21,invoice,ORD-2027-238948,PROD-271045,Vantec USB-C Hub 9-port,87,pcs,34.5,EUR,3001.5,0.0,0.0,3001.5,issued,,AE
IL-001,INV-2027-832667,2027-02-21,invoice,ORD-2027-216211,PROD-847263,Nexboard Mechanical Keyboard TKL,67,pcs,67.0,EUR,4489.0,0.0,0.0,4489.0,cancelled,,AE
IL-001,INV-2027-858188,2027-02-21,invoice,ORD-2027-403936,PROD-271045,Vantec USB-C Hub 9-port,81,pcs,34.5,EUR,2794.5,0.0,0.0,2794.5,cancelled,,AE
IL-001,INV-2027-154673,2027-02-21,credit note,ORD-2027-403936,PROD-271045,Vantec USB-C Hub 9-port,81,pcs,34.5,EUR,-2794.5,0.0,-0.0,-2794.5,issued,INV-2027-858188,AE
IL-002,INV-2027-583232,2027-02-21,invoice,ORD-2026-670792,PROD-639182,Blipcore Wireless Adapter AC1200,47,pcs,22.8,EUR,1071.6,19.0,203.6,1275.2,issued,,S
IL-002,INV-2027-536535,2027-02-21,invoice,ORD-2027-789886,PROD-639182,Blipcore Wireless Adapter AC1200,18,pcs,22.8,EUR,410.4,0.0,0.0,410.4,issued,,AE
IL-001,INV-2027-536535,2027-02-21,invoice,ORD-2027-789886,PROD-271045,Vantec USB-C Hub 9-port,54,pcs,34.5,EUR,1863.0,0.0,0.0,1863.0,issued,,AE
IL-001,INV-2027-495552,2027-02-21,credit note,ORD-2027-216211,PROD-847263,Nexboard Mechanical Keyboard TKL,67,pcs,67.0,EUR,-4489.0,0.0,-0.0,-4489.0,issued,INV-2027-832667,AE
IL-002,INV-2027-154673,2027-02-21,credit note,ORD-2027-403936,PROD-461829,Plonex Webcam 1080p Pro,66,pcs,44.0,EUR,-2904.0,0.0,-0.0,-2904.0,issued,INV-2027-858188,AE
IL-003,INV-2027-897429,2027-02-21,invoice,ORD-2027-508422,PROD-461829,Plonex Webcam 1080p Pro,9,pcs,44.0,EUR,396.0,0.0,0.0,396.0,issued,,AE
IL-002,INV-2027-178687,2027-02-21,invoice,ORD-2027-238948,PROD-483921,Zoltrix 4K Display Module 27in,54,pcs,189.99,EUR,10259.46,0.0,0.0,10259.46,issued,,AE
IL-001,INV-2027-583232,2027-02-21,invoice,ORD-2026-670792,PROD-738291,Quorvex 2TB NVMe SSD M.2,10,pcs,112.5,EUR,1125.0,19.0,213.75,1338.75,issued,,S
