invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-001,INV-2027-626378,2027-02-27,invoice,ORD-2027-417003,PROD-271045,Vantec USB-C Hub 9-port,48,pcs,34.5,EUR,1656.0,19.0,314.64,1970.64,issued,,S
IL-002,INV-2027-894133,2027-02-27,invoice,ORD-2027-253672,PROD-738291,Quorvex 2TB NVMe SSD M.2,12,pcs,112.5,EUR,1350.0,0.0,0.0,1350.0,issued,,AE
IL-001,INV-2027-117062,2027-02-27,invoice,ORD-2026-202988,PROD-639182,Blipcore Wireless Adapter AC1200,39,pcs,22.8,EUR,889.2,19.0,168.95,1058.15,issued,,S
IL-003,INV-2027-164934,2027-02-27,invoice,ORD-2026-884727,PROD-738291,Quorvex 2TB NVMe SSD M.2,28,pcs,112.5,EUR,3150.0,19.0,598.5,3748.5,issued,,S
IL-001,INV-2027-218238,2027-02-27,invoice,ORD-2027-478458,PROD-738291,Quorvex 2TB NVMe SSD M.2,79,pcs,112.5,EUR,8887.5,0.0,0.0,8887.5,issued,,AE
IL-001,INV-2027-997412,2027-02-27,invoice,ORD-2027-823153,PROD-583047,Veltric UPS 600VA Tower,10,pcs,78.6,EUR,786.0,0.0,0.0,786.0,issued,,AE
IL-002,INV-2027-164934,2027-02-27,invoice,ORD-2026-884727,PROD-583047,Veltric UPS 600VA Tower,57,pcs,78.6,EUR,4480.2,19.0,851.24,5331.44,issued,,S
IL-003,INV-2027-894133,2027-02-27,invoice,ORD-2027-253672,PROD-271045,Vantec USB-C Hub 9-port,58,pcs,34.5,EUR,2001.0,0.0,0.0,2001.0,issued,,AE
IL-001,INV-2027-894133,2027-02-27,invoice,ORD-2027-253672,PROD-583047,Veltric UPS 600VA Tower,17,pcs,78.6,EUR,1336.2,0.0,0.0,1336.2,issued,,AE
IL-001,INV-2027-540460,2027-02-27,invoice,ORD-2027-620566,PROD-847263,Nexboard Mechanical Keyboard TKL,77,pcs,67.0,EUR,5159.0,19.0,980.21,6139.21,issued,,S
IL-001,INV-2027-388016,2027-02-27,invoice,ORD-2027-134677,PROD-483921,Zoltrix 4K Display Module 27in,91,pcs,189.99,EUR,17289.09,19.0,3284.93,20574.02,issued,,S
IL-001,INV-2027-869521,2027-02-27,invoice,ORD-2027-471692,PROD-483921,Zoltrix 4K Display Module 27in,97,pcs,189.99,EUR,18429.03,0.0,0.0,18429.03,issued,,AE
IL-001,INV-2027-900432,2027-02-27,invoice,ORD-2027-268010,PROD-564738,Fomex Cat8 Patch Cable 3m,5,m,8.9,EUR,44.5,0.0,0.0,44.5,issued,,AE
IL-001,INV-2027-279337,2027-02-27,invoice,ORD-2027-263573,PROD-271045,Vantec USB-C Hub 9-port,11,pcs,34.5,EUR,379.5,19.0,72.11,451.61,issued,,S
IL-001,INV-2027-767989,2027-02-27,invoice,ORD-2027-683165,PROD-192837,Droxel 65W GaN Charger,31,pcs,28.4,EUR,880.4,0.0,0.0,880.4,issued,,AE
IL-002,INV-2027-378479,2027-02-27,invoice,ORD-2027-950576,PROD-029384,Trimbit Docking Station 12-in-1,27,pcs,89.9,EUR,2427.3,19.0,461.19,2888.49,issued,,S
IL-001,INV-2027-378479,2027-02-27,invoice,ORD-2027-950576,PROD-271045,Vantec USB-C Hub 9-port,87,pcs,34.5,EUR,3001.5,19.0,570.28,3571.78,issued,,S
IL-002,INV-2027-997412,2027-02-27,invoice,ORD-2027-823153,PROD-461829,Plonex Webcam 1080p Pro,54,pcs,44.0,EUR,2376.0,0.0,0.0,2376.0,issued,,AE
IL-001,INV-2027-831400,2027-02-27,invoice,ORD-2027-535945,PROD-847263,Nexboard Mechanical Keyboard TKL,61,pcs,67.0,EUR,4087.0,0.0,0.0,4087.0,issued,,AE
IL-002,INV-2027-388016,2027-02-27,invoice,ORD-2027-134677,PROD-564738,Fomex Cat8 Patch Cable 3m,48,m,8.9,EUR,427.2,19.0,81.17,508.37,issued,,S
IL-002,INV-2027-900432,2027-02-27,invoice,ORD-2027-268010,PROD-738291,Quorvex 2TB NVMe SSD M.2,11,pcs,112.5,EUR,1237.5,0.0,0.0,1237.5,issued,,AE
IL-002,INV-2027-486798,2027-02-27,invoice,ORD-2027-537020,PROD-271045,Vantec USB-C Hub 9-port,90,pcs,34.5,EUR,3105.0,19.0,589.95,3694.95,issued,,S
IL-003,INV-2027-218238,2027-02-27,invoice,ORD-2027-478458,PROD-564738,Fomex Cat8 Patch Cable 3m,6,m,8.9,EUR,53.4,0.0,0.0,53.4,issued,,AE
IL-002,INV-2027-218238,2027-02-27,invoice,ORD-2027-478458,PROD-483921,Zoltrix 4K Display Module 27in,39,pcs,189.99,EUR,7409.61,0.0,0.0,7409.61,issued,,AE
IL-001,INV-2027-164934,2027-02-27,invoice,ORD-2026-884727,PROD-847263,Nexboard Mechanical Keyboard TKL,19,pcs,67.0,EUR,1273.0,19.0,241.87,1514.87,issued,,S
IL-001,INV-2027-486798,2027-02-27,invoice,ORD-2027-537020,PROD-738291,Quorvex 2TB NVMe SSD M.2,71,pcs,112.5,EUR,7987.5,19.0,1517.62,9505.12,issued,,S
IL-003,INV-2027-997412,2027-02-27,invoice,ORD-2027-823153,PROD-271045,Vantec USB-C Hub 9-port,17,pcs,34.5,EUR,586.5,0.0,0.0,586.5,issued,,AE
IL-003,INV-2027-767989,2027-02-27,invoice,ORD-2027-683165,PROD-029384,Trimbit Docking Station 12-in-1,71,pcs,89.9,EUR,6382.9,0.0,0.0,6382.9,issued,,AE
IL-001,INV-2027-283450,2027-02-27,invoice,ORD-2027-336540,PROD-564738,Fomex Cat8 Patch Cable 3m,51,m,8.9,EUR,453.9,0.0,0.0,453.9,issued,,AE
IL-002,INV-2027-767989,2027-02-27,invoice,ORD-2027-683165,PROD-271045,Vantec USB-C Hub 9-port,52,pcs,34.5,EUR,1794.0,0.0,0.0,1794.0,issued,,AE
